cnes,CNES,IBGE,municipio,NOME FANTASIA,logradouro,NUMERO,BAIRRO,CEP,TP_UNID,tipo_unidade,lat,lon
7705255,7705255,421210,Palmitos,Clinica De Fisioterapia Vittale,Rua Dom Pedro II,27,Centro,89887000,36,Clinica/Centro De Especialidade  ,-27.0734335,-53.1571565
7683928,7683928,421190,Palhoça,Foco X Radiologia Odontologica,Rua João Olavo de Souza,3057,Centro,88130030,36,Clinica/Centro De Especialidade  ,-27.6489636,-48.667097
9880178,9880178,420820,Itajaí,Laboratorio Clinitest,Rua Zózimo José Peixoto,166,Centro,88303011,39,Unidade De Apoio Diagnóstico E Terapia (Sadt Isolado)  ,-26.9099778,-48.6656094
9958487,9958487,420300,Caçador,Josias Cortez,Rua Herculano Coelho de Souza,800,Reunidas,89504590,22,Consultorio Isolado  ,-26.7757974,-51.0229669
7709277,7709277,420650,Guaramirim,Ortoclinica Guaramirim,Rua Athanásio Rosa,201,Centro,89270000,22,Consultorio Isolado  ,-26.4754024,-48.9942131
7712413,7712413,420890,Jaraguá do Sul,Clinica Medica Sao Lucas,Rua João Planincheck,1990,Jaragua Esquerdo,89253105,22,Consultorio Isolado  ,-26.49610235,-49.09002467821257
7716788,7716788,420200,Balneário Camboriú,Centro Medico Santa Terezinha,Rua 2080,10,Centro,88330452,36,Clinica/Centro De Especialidade  ,-26.9976138,-48.6374616
9943919,9943919,420140,Araranguá,Femme Clinica De Ginecologia Obstetricia E Fisioterapia,Avenida Engenheiro Mesquita,868,Centro,88900055,36,Clinica/Centro De Especialidade  ,-28.9316893,-49.4832137
9964886,9964886,420540,Florianópolis,Carneiro Odontologia,Rua Lauro Linhares,2123,Trindade,88036003,22,Consultorio Isolado  ,-27.5925985,-48.5214085
9942556,9942556,420820,Itajaí,Exame Visual,Rua Gaspar da Costa Moraes,09,Sao Vicente,88309275,22,Consultorio Isolado  ,-26.9016257,-48.6922078
7205856,7205856,420910,Joinville,Ha Odontologia,Rua Conselheiro Arp,530,America,89204600,22,Consultorio Isolado  ,-26.2937899,-48.852362
9832696,9832696,421730,Saudades,Consultorio De Psicologia Cristine Niederle,Rua Miguel Couto,379,Centro,89868000,22,Consultorio Isolado  ,-26.6976713,-52.638293
6694934,6694934,421480,Rio do Sul,Oriana Marilu Hummelgen Leitis,Rua Tuiuti,400,Jardim America,89160045,22,Consultorio Isolado  ,-27.2123991,-49.6420157
9945229,9945229,421570,Santo Amaro da Imperatriz,Clinica Reintegrar,Rua Leopoldo Broering,3429,Vila Becker,88140000,36,Clinica/Centro De Especialidade  ,-27.6827862,-48.7507559
7608446,7608446,420460,Criciúma,Consultorio De Pediatria Dra Patricia Backes Arruda,Rua Esteves Júnior,90,Mina Brasil,88811135,22,Consultorio Isolado  ,-28.6668853,-49.3645427
7608454,7608454,420460,Criciúma,Sabe Servicos Medicos,Rua Antônio de Lucca,50,Pio Correa,88811503,22,Consultorio Isolado  ,-28.6761693,-49.3648112
7608462,7608462,420460,Criciúma,Bez Martinelli Servicos Medicos,Rua Caetano Casagrande,168,Pio Correa,88811450,22,Consultorio Isolado  ,-28.676053,-49.3631531
7608977,7608977,420850,Ituporanga,Prontoped Pediatria,Rua Naide Guimaraes De Melo,100,Centro,88400000,22,Consultorio Isolado  ,-27.4096219,-49.6014812
446254,446254,420240,Blumenau,Uniser Psicologia,Rua Ângelo Dias,276,Centro,89010020,36,Clinica/Centro De Especialidade  ,-26.9240548,-49.06363984522662
7606281,7606281,420700,Içara,Posto De Coleta Unimed,Rua 7 de Setembro,353,Centro,88820000,39,Unidade De Apoio Diagnóstico E Terapia (Sadt Isolado)  ,-28.7171289,-49.3249192
392774,392774,420300,Caçador,Ingo Schneider,Rua Anita Garibaldi,480,Centro,89500058,22,Consultorio Isolado  ,-26.7786392,-51.0175077
423602,423602,421660,São José,Elis Dutra Da Silva,Rua Charles Ferrari,500,Kobrasol,88102050,22,Consultorio Isolado  ,-27.6157200054,-48.628
420263,420263,420540,Florianópolis,Luciane Biscaino Ramos,Rua Intendente João Nunes Vieira,1683,Ingleses,88058100,22,Consultorio Isolado  ,-27.597,-48.525642564
405779,405779,421800,Tijucas,Hemo Laboratorio De Analises Clinicas Ltda Me,Rua Leoberto Leal,230,Centro,88200000,39,Unidade De Apoio Diagnóstico E Terapia (Sadt Isolado)  ,-27.2426923,-48.6330162
422223,422223,420550,Fraiburgo,Unita Vacinas,Rua João Marques Vieira,930,Centro,89580000,85,Centro De Imunizacao  ,-27.0213962,-50.9292457
7387067,7387067,420455,Correia Pinto,Clionica De Fisioterapia Reabilitar,Rua Juvenal Alves da Silva,284,Centro,88535000,36,Clinica/Centro De Especialidade  ,-27.5867425,-50.3613799
7593880,7593880,420287,Brunópolis,Polo Academia Da Saude,Avenida Marombas,S/N,Marombas,89634000,74,Polo Academia Da Saude  ,-27.3478387,-50.86711436250921
420972,420972,421130,Navegantes,Carini Gabriela Pivatto,Rua 26 de Agosto,104,Centro,88370444,22,Consultorio Isolado  ,-26.9036425,-48.6495328
359688,359688,421190,Palhoça,Odonto Palhoca,Praça Sete de Setembro,81,Centro,88130200,36,Clinica/Centro De Especialidade  ,-27.6458739,-48.6663124
380377,380377,420540,Florianópolis,Cordioli Servicos Medicos Ltda,Avenida Trompowsky,291,Centro,88015300,22,Consultorio Isolado  ,-27.5884344,-48.54826293712425
399787,399787,421720,São Miguel do Oeste,Anesplatao Clinica Ltda,SMO1370,93,Sao Gotardo,89900000,22,Consultorio Isolado  ,-26.7329756,-53.4978992
509957,509957,420830,Itapema,Meditran,Avenida Nereu Ramos,867,Centro,88220000,22,Consultorio Isolado  ,-27.1076553,-48.6133
416630,416630,420700,Içara,Associacao Dos Aposentados Pensionistas E Idosos De Icara,Rua Paulino Búrigo,86,Centro,88820000,36,Clinica/Centro De Especialidade  ,-28.7089562,-49.2974623
416819,416819,420900,Joaçaba,Lareg Joacaba,Eliziario De Carli,795,Santa Tereza,89600000,80,Laboratorio De Saude Publica  ,-27.1737204,-51.5065214
7609108,7609108,421360,Porto União,Abrahao Aoki Medicos Associados Ltda Me,Rua Prudente de Morais,80,Centro,89400000,22,Consultorio Isolado  ,-26.2331773,-51.0850987
408700,408700,420430,Concórdia,Consultorio De Psicologia,Rua Anita Garibaldi,270,Centro,89700126,22,Consultorio Isolado  ,-27.2292005,-52.02540898408535
7949286,7949286,420540,Florianópolis,Medi Gestao,Rua Emílio Blum,131,Centro,88020010,22,Consultorio Isolado  ,-27.597,-48.5509295333
7957742,7957742,421720,São Miguel do Oeste,Oncocare Oncologia,Rua Padre Aurélio Canzi,2277,Centro,89900000,36,Clinica/Centro De Especialidade  ,-26.7372463,-53.5155322
7943857,7943857,421780,Taió,Sala De Vacina,Rua Leopoldo Jacobsen,152,Centro,89190000,22,Consultorio Isolado  ,-27.1178276,-50.0107304
7958536,7958536,420890,Jaraguá do Sul,Juliana Barros Do Valle,Rua Jorge Czerniewicz,207,Centro,89255000,22,Consultorio Isolado  ,-26.4912181,-49.08133261598304
7946368,7946368,420930,Lages,Lottus Saude E Bem Estar,Rua Cruz e Souza,16,Brusque,88503001,22,Consultorio Isolado  ,-27.82264,-50.3262628
7957629,7957629,420930,Lages,Centro Terapeutico Schineide,Rua Cruz e Souza,40,Brusque,88503001,36,Clinica/Centro De Especialidade  ,-27.82264,-50.3262628
7953763,7953763,421970,Xaxim,Consultorio De Psicologia Valderes Salete Scatolin Valentini,Rua André Lunardi,1283,Centro,89825000,22,Consultorio Isolado  ,-26.9592332,-52.5334991
7956347,7956347,420820,Itajaí,Joao Ricardo Gaya,Rua Pelicano,45,Santa Clara,88306834,22,Consultorio Isolado  ,-26.9576218,-48.6301508
7961030,7961030,420900,Joaçaba,Marco Polo Servicos Medicos Ss Ltda,13 De Maio,314,Centro,89600000,22,Consultorio Isolado  ,-27.1714464,-51.5045945
7955510,7955510,421870,Tubarão,Centro De Terapias Integradas,Avenida Marcolino Martins Cabral,1788,Vila Moema,88701000,22,Consultorio Isolado  ,-28.4669099969,-49.007
7957823,7957823,421870,Tubarão,Neuro Clinica Linne,Rua Teresa Ghizoni,44,Vila Moema,88705150,22,Consultorio Isolado  ,-28.477445,-48.999994
7938152,7938152,420430,Concórdia,Centro Cirurgico Odontologico Renato Frare Zanella Ss,Rua Marechal Deodoro,772,Centro,89700003,22,Consultorio Isolado  ,-27.2332013,-52.0247162
7964706,7964706,420820,Itajaí,Rosalie Kupka Knoll,Rua Hercílio Luz,1207,Centro,88301000,22,Consultorio Isolado  ,-26.9043928,-48.6627567
7962398,7962398,421567,Santa Terezinha,Farmacia Lm,Rio Da Anta,S/N,Rio Da Anta Sta,89199000,43,Farmacia  ,-26.7813,-50.009017
2758210,2758210,420460,Criciúma,Unidade Basica De Saude Sao Defende,Rua João Batista Cordeiro,S/N,Sao Defende,88808073,2,Centro De Saude/Unidade Basica  ,-28.6990036,-49.4538937
2758237,2758237,420460,Criciúma,Unidade Basica De Saude Prospera,Rua Pernambuco,S/N,Prospera,88813010,2,Centro De Saude/Unidade Basica  ,-28.678711,-49.3495535
7929315,7929315,420380,Canoinhas,Clinica Slim,Rua Frei Menandro Kamps,884,Centro,89460096,22,Consultorio Isolado  ,-26.1795529,-50.3918655
7947313,7947313,420830,Itapema,Clinica De Olhos De Itapema,Rua 252,120,Meia Praia,88220000,22,Consultorio Isolado  ,-27.1318328,-48.6057924
7943199,7943199,420910,Joinville,Lab Ghanem Psc Shopping Mueller,Rua Visconde de Taunay 235,235,Centro,89201908,39,Unidade De Apoio Diagnóstico E Terapia (Sadt Isolado)  ,-26.3032799957,-48.846
7946805,7946805,421060,Massaranduba,Farmacia Biosaude,Rua 11 de Novembro,4294,Centro,89108000,43,Farmacia  ,-26.6037522,-48.9957464
2379503,2379503,421480,Rio do Sul,Centro De Atend A Crianca Adolescente,Rua Tuiuti,154,Centro,89160045,36,Clinica/Centro De Especialidade  ,-27.21911245,-49.64420439293478
3281744,3281744,420900,Joaçaba,Clinica Pediatra Colibri,Rua Felipe Schmidt,63,Centro,89600000,22,Consultorio Isolado  ,-27.173472,-51.5075557
2303175,2303175,420830,Itapema,Ceres Centro De Referencia Especializada,Rua 130,130,Centro,88220000,36,Clinica/Centro De Especialidade  ,-27.0995903,-48.6175136
2658275,2658275,420845,Itapoá,Pronto Atendimento 24 Horas Itapoa,Rua Mariana Michels Borges,900,Centro,89249000,73,Pronto Atendimento  ,-26.0815681,-48.6098444
3305554,3305554,420900,Joaçaba,Marcio Tomasi Sc Ltda,Avenida Santa Terezinha,243,Centro,89600000,22,Consultorio Isolado  ,-27.1771918,-51.504033
2550954,2550954,420880,Jaguaruna,Laboratorio De Analise Clinicas Vitae,Rua Getúlio Vargas,26,Centro,88715000,39,Unidade De Apoio Diagnóstico E Terapia (Sadt Isolado)  ,-28.616792,-49.0240977
2560763,2560763,420900,Joaçaba,Fisiocenter,Rua Francisco Lindner,525,Centro,89600000,36,Clinica/Centro De Especialidade  ,-27.1741494,-51.5067877
2377438,2377438,420915,José Boiteux,Unidade Sanitaria Sede De Jose Boiteux,Rua 20 De Julho,S/N,Centro,89145000,2,Centro De Saude/Unidade Basica  ,-26.962072,-49.6262509
2419262,2419262,420960,Lauro Müller,Unidade Basica De Saude Psf Guata,Rua Chapeco,S/N,Guata,88880000,2,Centro De Saude/Unidade Basica  ,-28.3942244,-49.3975402
7953542,7953542,420140,Araranguá,Academia De Saude Morro Dos Conventos,Rua Virgulino de Queiroz 200,0,Morro Dos Conventos,88900900,74,Polo Academia Da Saude  ,-28.9391905,-49.3741129
7954719,7954719,421335,Ponte Alta do Norte,Municipio De Ponte Alta Do Norte,Av Joao Da Silva Calomeno,S/N,Sao Sebastiao,89535000,71,Centro De Apoio A Saude Da Familia  ,-27.1626096,-50.4684028
2689405,2689405,420760,Ipira,Unidade Basica De Saude Sede Ipira,Rua Santa Catarina,47,Centro,89669000,2,Centro De Saude/Unidade Basica  ,-27.4105989,-51.7740723
2410966,2410966,420768,Ipuaçu,Unidade Sanitaria De Ipuacu,Rua Machado,416,Centro,89832000,2,Centro De Saude/Unidade Basica  ,-26.6343291,-52.455329
2557983,2557983,420780,Irani,Ubs Sede,Rua Monge João Maria,508,Alto Irani,89680000,2,Centro De Saude/Unidade Basica  ,-27.0158084,-51.8808673
2300850,2300850,421330,Ponte Alta,Fundacao Medico Social Rural De Ponte Alta,Rua José Martins,149,Centro,88550000,5,Hospital Geral  ,-27.4852188,-50.382621
2651904,2651904,421335,Ponte Alta do Norte,Programa Mun Saude Bucal,Rua Laureano João Carraro,S/N,Sao Sebastiao,89535000,2,Centro De Saude/Unidade Basica  ,-27.1575607,-50.4697578
2411121,2411121,421340,Ponte Serrada,Programa Da Saude Da Familia 01,Rua Ademar José Rauber,S/N,Cohab,89683000,2,Centro De Saude/Unidade Basica  ,-26.861277,-52.0293545
2411164,2411164,421340,Ponte Serrada,Hospital Santa Luzia De Deolindo Jose Baggio,Av Xv De Novembro,860,Centro,89683000,5,Hospital Geral  ,-26.8708566,-52.0164089
7948913,7948913,420890,Jaraguá do Sul,Agacy E Passini Cirurgia Plastica,Rua Guilherme Weege,495,Centro,89251610,22,Consultorio Isolado  ,-26.4885442,-49.0789264
7958420,7958420,420140,Araranguá,Laboratorio Exame,Avenida Padre Antônio Luiz Dias,345,Centro,88900067,36,Clinica/Centro De Especialidade  ,-28.9328956,-49.4850134
7835574,7835574,421930,Videira,Ok Rent A Car,Rua Pedro Andreazza,55,Centro,89560200,22,Consultorio Isolado  ,-27.0062575,-51.1543845
7818238,7818238,421720,São Miguel do Oeste,Clinipom Clinica De Saude Dos Militares Estaduais,Rua Chuí,273,Centro,89900000,36,Clinica/Centro De Especialidade  ,-26.73120995,-53.51471997522046
7846169,7846169,420240,Blumenau,Cloris Yvette De Montreuil Carmona Carmacio,Avenida Presidente Castelo Branco,124,Ribeirao Fresco,89010100,22,Consultorio Isolado  ,-26.92869035,-49.0568065
7836732,7836732,421540,Salto Veloso,Evandro Lourenco Gazzi,Avenida Pio XII,408,Centro,89595000,22,Consultorio Isolado  ,-26.9056891,-51.4063979
7846738,7846738,420120,Antônio Carlos,Joao Neves Da Fontoura Junior,Rua Lourenço Valdemiro Rios,36,Centro,88180000,22,Consultorio Isolado  ,-27.5185146,-48.7697885
7828527,7828527,421850,Treze Tílias,Ana Paula Kandler,Rua Videira,80,Centro,89650000,22,Consultorio Isolado  ,-26.9979982,-51.4049741
3479994,3479994,420540,Florianópolis,Cardiocenter,Rua Presidente Nereu Ramos,69,Centro,88015010,22,Consultorio Isolado  ,-27.5944423,-48.5503839
3450406,3450406,420830,Itapema,Clinica Sao Miguel,Avenida Nereu Ramos,4016,Meia Praia,88220000,39,Unidade De Apoio Diagnóstico E Terapia (Sadt Isolado)  ,-27.1250784,-48.6039675
3485285,3485285,420020,Agrolândia,Giseli Priscila Scheller,Rua Dos Pioneiros,565,Centro,88420000,22,Consultorio Isolado  ,-27.4120688,-49.8294621
2419726,2419726,420460,Criciúma,Biovita Laboratorio De Analises Clinicas,Rua João Cechinel,31,Centro,88801305,39,Unidade De Apoio Diagnóstico E Terapia (Sadt Isolado)  ,-28.6740222,-49.3653277
2594277,2594277,420460,Criciúma,Hospital Materno Infantil Santa Catarina,Rua Wenceslau Braz,1015,Operaria Nova,88809020,5,Hospital Geral  ,-28.6807774,-49.3800484
2419858,2419858,420460,Criciúma,Unidade Basica De Saude Boa Vista,Rua Tangará,S/N,Boa Vista,88805500,2,Centro De Saude/Unidade Basica  ,-28.6878579,-49.4100514
7833601,7833601,420910,Joinville,Reabilitar Fisioterapia,Rua Doutor Carlos Heins Funke,80,Pirabeiraba,89239205,22,Consultorio Isolado  ,-26.2036238,-48.9067301
7830203,7830203,421660,São José,Clinifisio,Rua Célio Veiga,477,Jardim Cidade De Flo,88111320,36,Clinica/Centro De Especialidade  ,-27.5667143,-48.6221074
3476839,3476839,420420,Chapecó,Laboratorio Unimed,Avenida Porto Alegre - D,132,Centro,89802130,39,Unidade De Apoio Diagnóstico E Terapia (Sadt Isolado)  ,-27.0973500072,-52.618
7828853,7828853,420910,Joinville,Espaco Nascendis Clinica De Psicologia,Rua Blumenau,178,America,89204248,22,Consultorio Isolado  ,-26.2986824,-48.8503067
7825439,7825439,420380,Canoinhas,Clinica Psico Vida,Rua Barão do Rio Branco,1280,Centro,89460152,22,Consultorio Isolado  ,-26.1795529,-50.3918655
7831595,7831595,420910,Joinville,Laila Querem Tribuci,Rua Otto Pfuetzenreuter,195,Costa E Silva,89219202,22,Consultorio Isolado  ,-26.3188500053,-48.8294347546
7833008,7833008,420940,Laguna,Farmacia Economica,Av Calistrato Muller Salles,1794,Portinho,88790000,43,Farmacia  ,-28.4837443,-48.7816572
9971408,9971408,421720,São Miguel do Oeste,Unidade Central,Rua John Kennedy,1437,Centro,89900000,2,Centro De Saude/Unidade Basica  ,-26.7372463,-53.5155322
9987479,9987479,420540,Florianópolis,Radioderm Servicoes Medicos,Rua Ferreira Lima,238,Centro,88015420,22,Consultorio Isolado  ,-27.59020055,-48.543654924084166
5409136,5409136,420240,Blumenau,Izabella Barreto Spillere Da Silva Bona,Rua Coronel Vidal Ramos,01,Jardim Blumenau,89010330,22,Consultorio Isolado  ,-26.925667,-49.0635786
217131,217131,420240,Blumenau,Clinica Imaginare Desenvolvimento Infanto Juvenil,Rua Ângelo Dias 207,534,Centro,89010912,36,Clinica/Centro De Especialidade  ,-26.921588900000003,-49.06229265
207721,207721,421360,Porto União,Laboratorio De Analises Clinicas Galileu Ltda,Avenida Getúlio Vargas,49,Centro,89400000,39,Unidade De Apoio Diagnóstico E Terapia (Sadt Isolado)  ,-26.2348597,-51.0856138
106046,106046,420055,Águas Frias,Central Municipal De Rede De Frios,Rua Maria Gotardo Galon,349,Centro,89843000,84,Central De Abastecimento  ,-26.8792713,-52.8583566
116572,116572,420540,Florianópolis,Clinica Saude Dos Olhos,Rua Felipe Schmidt 249,249,Centro,88010902,22,Consultorio Isolado  ,-27.5966399985,-48.5485937822
131369,131369,421910,Vargeão,Odontologia Piovezani Eireli,Rua Sete de Setembro,223,Centro,89690000,22,Consultorio Isolado  ,-26.8622749,-52.1537395
3157482,3157482,420750,Indaial,Cleide Jacobsen Keunecke Hardt,Rua Tiradentes,34,Centro,89080030,22,Consultorio Isolado  ,-26.8949853,-49.23350841243227
3142507,3142507,420010,Abelardo Luz,Clinica Energia Ativa,Rua Padre João Smedt,869,Centro,89830000,36,Clinica/Centro De Especialidade  ,-26.5647876,-52.3306409
3112438,3112438,420750,Indaial,Estrategia De Saude Da Familia Remo Wendorf I,Rua Paramaribo,26,Tapajos,89080374,2,Centro De Saude/Unidade Basica  ,-26.9147885,-49.2508076
250570,250570,420240,Blumenau,Farmasesi Fortaleza,Rua Francisco Vahldieck,1001,Fortaleza,89057001,43,Farmacia  ,-26.8687213,-49.058849
9979174,9979174,421170,Orleans,Laboratorio Bioviver,Rua Aristiliano Ramos,490,Centro,88870000,39,Unidade De Apoio Diagnóstico E Terapia (Sadt Isolado)  ,-28.356842,-49.2902698
9981039,9981039,421290,Pinhalzinho,Consultorio Odontologico Natasha Junges Franco,Rua João Pessoa,1969,Centro,89870000,22,Consultorio Isolado  ,-26.8496494,-52.98553875
3112446,3112446,420750,Indaial,Samir Muhd,Rua Marechal Floriano Peixoto,323,Centro,89080063,22,Consultorio Isolado  ,-26.8985133,-49.2308707
3137147,3137147,420840,Itapiranga,Unidade De Saude Beira Rio,Avenida Uruguai,565,Centro,89896000,2,Centro De Saude/Unidade Basica  ,-27.1759176,-53.7139311
5494486,5494486,420540,Florianópolis,Manoel Costa De Oliveira,Avenida Rio Branco,354,Centro,88015201,22,Consultorio Isolado  ,-27.5919734,-48.5478458
86142,86142,421550,Santa Cecília,Digimax,Rua Pedro Granemann,40,Centro,89540000,36,Clinica/Centro De Especialidade  ,-26.9626912,-50.4251875
129259,129259,420630,Guabiruba,Central Municipal De Rede De Frio Guabiruba,Rua 10 de Junho,197,Centro,88360000,84,Central De Abastecimento  ,-27.0885397,-48.98298
128031,128031,420730,Imbituba,Crf Central De Armaz E Dist De Imunob Imbituba Ceadm,Avenida Doutor João Rimsa,359,Centro,88780000,84,Central De Abastecimento  ,-28.2378754,-48.6622398
3165531,3165531,420290,Brusque,Unidade De Saude Nova Brasilia,Rua Osvaldo Niebuhr,S/N,Nova Brasilia,88352191,2,Centro De Saude/Unidade Basica  ,-27.1019600066,-48.9224483025
2334941,2334941,421290,Pinhalzinho,Corpo De Bombeiros,Rua Gelmar Luiz Hoefle,18,Centro Oeste,89870000,42,Unidade Movel De Nivel Pre-Hospitalar Na Area De Urgencia  ,-26.852586,-52.9872478
20028,20028,420540,Florianópolis,Cs Coloninha,Rua Araci Vaz Callado,1830,Coloninha,88070750,2,Centro De Saude/Unidade Basica  ,-27.597,-48.5855594541
19348,19348,420540,Florianópolis,Cs Fazenda Do Rio Tavares,Rodovia Francisco Magno Vieira,000,Fazenda Do Rio Tavar,88063700,2,Centro De Saude/Unidade Basica  ,-27.661527,-48.501428
19518,19518,420540,Florianópolis,Cs Sape,Travessa Waldemar Osmar Hermann,82,Sape,88095685,2,Centro De Saude/Unidade Basica  ,-27.5600999958,-48.5906371532
2640295,2640295,421870,Tubarão,Darlan M Kestering,Avenida Marcolino Martins Cabral,2075,Centro,88705001,22,Consultorio Isolado  ,-28.4818507,-49.005489
151041,151041,420930,Lages,Jlt Servicos De Saude,Rua Francisco de Paula Ramos,160,Coral,88523020,22,Consultorio Isolado  ,-27.8076478,-50.3052608
118664,118664,421690,São Lourenço do Oeste,Odonto Up,Região Sul,601,Centro,89990000,22,Consultorio Isolado  ,-26.350515,-52.8453219
129623,129623,421860,Trombudo Central,Hafemann Servicos Medicos Ltda,R Paulo Skowasch,210,Jalisco,89176000,22,Consultorio Isolado  ,-27.3040981,-49.79316
134465,134465,420700,Içara,Odonto Saude,Rua Altamiro Guimarães,189,Centro,88820000,22,Consultorio Isolado  ,-28.7190427,-49.3001435
