COMPETENCIA,IBGE,UF,MUNICIPIO,CNES,NOME FANTASIA,RAZAO SOCIAL,CNPJ PROPRIO,CNPJ MANTENEDORA,TIPO GESTAO,LOGRADOURO,NUMERO,BAIRRO,CEP
202202,421930,SC,VIDEIRA,7705980,LABORATORIO LABORALI LTDA,ALIDA H R FERRAZ EPP,97435127000507.0,,M,ANTONIO FERLIN,88,SAO CRISTOVAO,89562024
202202,421210,SC,PALMITOS,7705255,CLINICA DE FISIOTERAPIA VITTALE,CLINICA DE FISIOTERAPIA VITTALE S C LTDA,22063909000121.0,,M,RUA DOM PEDRO II,27,CENTRO,89887000
202202,421190,SC,PALHOCA,7683928,FOCO X RADIOLOGIA ODONTOLOGICA,JUCIMARA PRADO RADIOLOGIA ODONTOLOGICA LTDA ME,17259925000154.0,,M,RUA 24 DE ABRIL,3057,CENTRO,88130030
202202,420820,SC,ITAJAI,9880178,LABORATORIO CLINITEST,CLINITEST LABORATORIO DE ANALISES CLINICAS LTDA,82158874000489.0,,M,ZOZIMO JOSE PEIXOTO,166,CENTRO,88303011
202202,420300,SC,CACADOR,9958487,JOSIAS CORTEZ,JOSIAS CORTEZ,,,M,RUA HERCULANO COELHO DE SOUZA,800,REUNIDAS,89504590
202202,420650,SC,GUARAMIRIM,7709277,ORTOCLINICA GUARAMIRIM,ORTOCLINICA GUARAMIRIM LTDA ME,7630776000134.0,,M,RUA ATHANASIO ROSA,201,CENTRO,89270000
202202,420890,SC,JARAGUA DO SUL,7712413,CLINICA MEDICA SAO LUCAS,CLINICA MEDICA SAO LUCAS JARAGUA DO SUL,21441533000189.0,,M,RUA JOAO PLANINCHECK,1990,JARAGUA ESQUERDO,89253105
202202,420200,SC,BALNEARIO CAMBORIU,7716788,CENTRO MEDICO SANTA TEREZINHA,CENTRO MEDICO SANTA TEREZINHA LTDA EPP,16954564000101.0,,M,RUA 2080,10,CENTRO,88330452
202202,420140,SC,ARARANGUA,9943919,FEMME CLINICA DE GINECOLOGIA OBSTETRICIA E FISIOTERAPIA,FEMME CONSULTORIO MEDICO LTDA,14072887000138.0,,M,ENGENHEIRO MESQUITA,868,CENTRO,88900055
202202,420540,SC,FLORIANOPOLIS,9964886,CARNEIRO ODONTOLOGIA,CARNEIRO ODONTOLOGIA INTEGRADA LTDA,38732539000108.0,,M,LAURO LINHARES,2123,TRINDADE,88036003
202202,420820,SC,ITAJAI,9942556,EXAME VISUAL,JANAYNA FABRIS DE SOUZA,,,M,RUA GASPAR DA COSTA MORAES,09,SAO VICENTE,88309275
202202,420910,SC,JOINVILLE,7205856,HA ODONTOLOGIA,HA ODONTOLOGIA S S LTDA,148299000126.0,,M,CONSELHEIRO ARP,530,AMERICA,89204600
202202,421730,SC,SAUDADES,9832696,CONSULTORIO DE PSICOLOGIA CRISTINE NIEDERLE,CRISTINE NIEDERLE,,,M,RUA MIGUEL COUTO,379,CENTRO,89868000
202202,421480,SC,RIO DO SUL,6694934,ORIANA MARILU HUMMELGEN LEITIS,ORIANA MARILU HUMMELGEN LEITIS,,,M,RUA PRESIDENTE KENEDY,400,JARDIM AMERICA,89160045
202202,421570,SC,SANTO AMARO DA IMPERATRIZ,9945229,CLINICA REINTEGRAR,CLINICA REINTEGRAR FISIOTERAPIA LTDA,34414694000125.0,,M,LEOPOLDO BROERING,3429,VILA BECKER,88140000
202202,420460,SC,CRICIUMA,7608446,CONSULTORIO DE PEDIATRIA DRA PATRICIA BACKES ARRUDA,DRA PATRICIA BACKES ARRUDA EIRELI ME,20686920000112.0,,M,RUA ESTEVES JUNIOR,90,MINA BRASIL,88811135
202202,420460,SC,CRICIUMA,7608454,SABE SERVICOS MEDICOS,SABE SERVICOS MEDICOS LTDA ME,20770264000131.0,,M,RUA ANTONIO DE LUCCA,50,PIO CORREA,88811503
202202,420460,SC,CRICIUMA,7608462,BEZ MARTINELLI SERVICOS MEDICOS,BEZ MARTINELLI SERVICOS MEDICOS LTDA ME,20724229000186.0,,M,RUA JOAO CECHINEL,168,PIO CORREA,88811450
202202,420850,SC,ITUPORANGA,7608977,PRONTOPED PEDIATRIA,PRONTOPED PEDIATRIA LTDA EPP,82870189000138.0,,M,RUA NAIDE GUIMARAES DE MELO,100,CENTRO,88400000
202202,420240,SC,BLUMENAU,446254,UNISER PSICOLOGIA,UNISER PSICOLOGIA LTDA,27191396000158.0,,M,ANGELO DIAS,276,CENTRO,89010020
202202,420700,SC,ICARA,7606281,POSTO DE COLETA UNIMED,UNIMED CRICIUMA COOPERATIVA DE TRABALHO MEDICO DA REGIAO CAR,82996703000429.0,,M,RUA SETE DE SETEMBRO,353,CENTRO,88820000
202202,420300,SC,CACADOR,392774,INGO SCHNEIDER,INGO SCHNEIDER,,,M,ANITA GARIBALDI,480,CENTRO,89500058
202202,421660,SC,SAO JOSE,423602,ELIS DUTRA DA SILVA,ELIS DUTRA DA SILVA,,,M,RUA CHARLES FERREIRA,500,KOBRASOL,88102050
202202,420540,SC,FLORIANOPOLIS,420263,LUCIANE BISCAINO RAMOS,LUCIANE BISCAINO RAMOS,,,M,RUA INTENDENTE JOAO NUNES VIERA,1683,INGLESES,88058100
202202,421800,SC,TIJUCAS,405779,HEMO LABORATORIO DE ANALISES CLINICAS LTDA ME,HEMO LABORATORIO DE ANALISES CLINICAS LTDA,79245197000502.0,,M,LEOBERTO LEAL,230,CENTRO,88200000
202202,420550,SC,FRAIBURGO,422223,UNITA VACINAS,PELLISSARI SERVICOS DE IMUNIZACAO HUMANA EIRELI,38926677000128.0,,M,JOAO MARQUES VIEIRA,930,CENTRO,89580000
202202,420455,SC,CORREIA PINTO,7387067,CLIONICA DE FISIOTERAPIA REABILITAR,REABILITAR FISIOTERAPIA E REABILITACAO CORPORAL LTDA,18953183000125.0,,M,JUVENAL ALVES DA SILVA,284,CENTRO,88535000
202202,420287,SC,BRUNOPOLIS,7593880,POLO ACADEMIA DA SAUDE,POLO ACADEMIA DA SAUDE DE BRUNOPOLIS,,1613853000161.0,M,AVENIDA MAROMBAS,S/N,MAROMBAS,89634000
202202,421130,SC,NAVEGANTES,420972,CARINI GABRIELA PIVATTO,CARINI GABRIELA PIVATTO,,,M,RUA 26 DE AGOSTO,104,CENTRO,88370444
202202,421190,SC,PALHOCA,359688,ODONTO PALHOCA,L C A ODONTOLOGIA LTDA,24676161000168.0,,M,SETE DE SETEMBRO,81,CENTRO,88130200
202202,420540,SC,FLORIANOPOLIS,380377,CORDIOLI SERVICOS MEDICOS LTDA,CORDIOLI SERVICOS MEDICOS LTDA,33551216000102.0,,M,TROMPOWSKI,291,CENTRO,88015300
202202,421720,SC,SAO MIGUEL DO OESTE,399787,ANESPLATAO CLINICA LTDA,ANESPLATAO CLINICA LTDA,38830172000165.0,,M,JOAO SIMIONI,93,SAO GOTARDO,89900000
202202,420830,SC,ITAPEMA,509957,MEDITRAN,KLEIN GAYA SERVICOS MEDICOS LTDA,35073843000100.0,,M,NEREU RAMOS,867,CENTRO,88220000
202202,420700,SC,ICARA,416630,ASSOCIACAO DOS APOSENTADOS PENSIONISTAS E IDOSOS DE ICARA,ASSOCIACAO DOS APOSENTADOS PENSIONISTAS E IDOSOS DO MUNICIP,3268348000152.0,,M,PAULINO BURIGO,86,CENTRO,88820000
202202,420900,SC,JOACABA,416819,LAREG JOACABA,SECRETARIA DE ESTADO DA SAUDE,,82951245000169.0,E,ELIZIARIO DE CARLI,795,SANTA TEREZA,89600000
202202,421360,SC,PORTO UNIAO,7609108,ABRAHAO AOKI MEDICOS ASSOCIADOS LTDA ME,ABRAHAO AOKI MEDICOS ASSOCIADOS LTDA ME,10948742000105.0,,M,RUA PRUDENTE DE MORAIS,80,CENTRO,89400000
202202,420430,SC,CONCORDIA,408700,CONSULTORIO DE PSICOLOGIA,VALDETE JANE CORDEIRO,,,M,RUA ANITA GARIBALDI,270,CENTRO,89700126
202202,420540,SC,FLORIANOPOLIS,7949286,MEDI GESTAO,MEDI GESTAO DESENVOLVIMENTO E LICENCIAMENTO DE SOFWARE E TRE,22527647000109.0,,M,RUA EMILO BLUM,131,CENTRO,88020010
202202,421720,SC,SAO MIGUEL DO OESTE,7957742,ONCOCARE ONCOLOGIA,CLINICA ONCOLOGICA DR VINICIUS NEGRI LTDA,24439569000116.0,,M,RUA PADRE AURELIO CANZI,2277,CENTRO,89900000
202202,421780,SC,TAIO,7943857,SALA DE VACINA,CLINICA DR RAUSIS LTDA,22903146000260.0,,M,RUA LEOPOLDO JACOBSEN,152,CENTRO,89190000
202202,420890,SC,JARAGUA DO SUL,7958536,JULIANA BARROS DO VALLE,JULIANA BARROS DO VALLE,,,M,RUA BARAO DO RIO BRANCO,207,CENTRO,89255000
202202,420930,SC,LAGES,7946368,LOTTUS SAUDE E BEM ESTAR,CLINICA PSICOLOGICA WOLFF MOTA LTDA EPP EPP,22410985000166.0,,M,CRUZ E SOUZA,16,BRUSQUE,88503001
202202,420930,SC,LAGES,7957629,CENTRO TERAPEUTICO SCHINEIDE,CRISTIANE SCHINEIDE ME,24131907000158.0,,M,CRUZ E SOUZA,40,BRUSQUE,88503001
202202,421970,SC,XAXIM,7953763,CONSULTORIO DE PSICOLOGIA VALDERES SALETE SCATOLIN VALENTINI,VALDERES SALETE SCATOLIN VALENTINI,,,M,ANDRE LUNARDI,1283,CENTRO,89825000
202202,420820,SC,ITAJAI,7956347,JOAO RICARDO GAYA,JOAO RICARDO GAYA,,,M,RUA PELICANO,45,SANTA CLARA,88306834
202202,420900,SC,JOACABA,7961030,MARCO POLO SERVICOS MEDICOS SS LTDA,MARCO POLO SERVICOS MEDICOS S S LTDA,22484369000150.0,,M,13 DE MAIO,314,CENTRO,89600000
202202,421870,SC,TUBARAO,7955510,CENTRO DE TERAPIAS INTEGRADAS,ADRIANA MAREGA FERNANDES,,,M,AV MARCOLINI MARTINS CABRAL,1788,VILA MOEMA,88701000
202202,421870,SC,TUBARAO,7957823,NEURO CLINICA LINNE,NEURO CLINICA MEDICA LINNE SS,22444270000124.0,,M,RUA TERESA GHIZONI,44,VILA MOEMA,88705150
202202,420430,SC,CONCORDIA,7938152,CENTRO CIRURGICO ODONTOLOGICO RENATO FRARE ZANELLA SS,CENTRO CIRURGICO ODONTOLOGICO RENATO FRARE ZANELLA SS,15307108000107.0,,M,RUA MARECHAL DEODORO,772,CENTRO,89700003
202202,420820,SC,ITAJAI,7964706,ROSALIE KUPKA KNOLL,ROSALIE KUPKA KNOLL,,,M,AVENIDA MARCOS KONDER,1207,CENTRO,88301000
202202,421567,SC,SANTA TEREZINHA,7962398,FARMACIA LM,ALAIDES ZEFERINO DA SILVA ME,21891712000118.0,,M,RIO DA ANTA,S/N,RIO DA ANTA STA,89199000
202202,420460,SC,CRICIUMA,2758210,UNIDADE BASICA DE SAUDE SAO DEFENDE,MUNICIPIO DE CRICIUMA,,82916818000113.0,M,RUA JOA BATISTA CORDEIRO,S/N,SAO DEFENDE,88808073
202202,420460,SC,CRICIUMA,2758237,UNIDADE BASICA DE SAUDE PROSPERA,MUNICIPIO DE CRICIUMA,,82916818000113.0,M,RUA PERNAMBUCO,S/N,PROSPERA,88813010
202202,420380,SC,CANOINHAS,7929315,CLINICA SLIM,CLINICA MEDICA MTS EIRELI ME,21383860000121.0,,M,FREI MENANDRO KAMPS,884,CENTRO,89460096
202202,420830,SC,ITAPEMA,7947313,CLINICA DE OLHOS DE ITAPEMA,NATACHA CAVASINI HOFFMEISTER,,,M,RUA 252,120,MEIA PRAIA,88220000
202202,420910,SC,JOINVILLE,7943199,LAB GHANEM PSC SHOPPING MUELLER,MOB LABORATORIO DE ANALISES CLINICAS S S,5465560003070.0,,M,VISCONDE DE TAYNAY,235,CENTRO,89201908
202202,421060,SC,MASSARANDUBA,7946805,FARMACIA BIOSAUDE,BIOSAUDE DROGARIA E FARMACIA LTDA EPP,8691828000145.0,,M,RUA 11 DE NOVEMBRO,4294,CENTRO,89108000
202202,421480,SC,RIO DO SUL,2379503,CENTRO DE ATEND A CRIANCA ADOLESCENTE,PREFEITURA MUNICIPAL DE RIO DO SUL,,83102574000106.0,M,RUA TUIUTI,154,CENTRO,89160045
202202,420900,SC,JOACABA,3281744,CLINICA PEDIATRA COLIBRI,CAMINA PRESTADORA DE SERVICOS A SAUDE LTDA,10437034000100.0,,M,RUA FELIPE SCHMIDT,63,CENTRO,89600000
202202,420830,SC,ITAPEMA,2303175,CERES CENTRO DE REFERENCIA ESPECIALIZADA,PREFEITURA MUNICIPAL DE ITAPEMA,,82572207000103.0,M,RUA 119A,130,CENTRO,88220000
202202,420845,SC,ITAPOA,2658275,PRONTO ATENDIMENTO 24 HORAS ITAPOA,PREFEITURA MUNICIPAL DE SAUDE,,81140303000101.0,M,MARIANA MICHELS BORGES,900,CENTRO,89249000
202202,420900,SC,JOACABA,3305554,MARCIO TOMASI SC LTDA,MARCIO TOMASI SC LTDA,4013525000112.0,,M,AV SANTA TEREZINHA,243,CENTRO,89600000
202202,420880,SC,JAGUARUNA,2550954,LABORATORIO DE ANALISE CLINICAS VITAE,LABORATORIO DE ANALISES CLINICAS VITAE EIRELI,1540182000156.0,,M,RUA GETULIO VARGAS,26,CENTRO,88715000
202202,420900,SC,JOACABA,2560763,FISIOCENTER,FISIOCENTER FISIOTERAPIA ACADEMIA LTDA,79312336000140.0,,M,RUA FRANCISCO LINDNER,525,CENTRO,89600000
202202,420915,SC,JOSE BOITEUX,2377438,UNIDADE SANITARIA SEDE DE JOSE BOITEUX,PREFEITURA MUNICIPAL DE JOSE BOITEUX,,79372553000125.0,M,RUA 20 DE JULHO,S/N,CENTRO,89145000
202202,420960,SC,LAURO MULLER,2419262,UNIDADE BASICA DE SAUDE PSF GUATA,MUNICIPIO DE LAURO MULLER,,82558909000124.0,M,RUA CHAPECO,S/N,GUATA,88880000
202202,420140,SC,ARARANGUA,7953542,ACADEMIA DE SAUDE MORRO DOS CONVENTOS,MUNICIPIO DE ARARANGUA,,82911249000113.0,M,FRANCISCO ZEFERINO,0,MORRO DOS CONVENTOS,88900900
202202,421335,SC,PONTE ALTA DO NORTE,7954719,MUNICIPIO DE PONTE ALTA DO NORTE,PREFEITURA MUNICIPAL DE PONTE ALTA DO NORTE,,95991287000175.0,M,AV JOAO DA SILVA CALOMENO,S/N,SAO SEBASTIAO,89535000
202202,420760,SC,IPIRA,2689405,UNIDADE BASICA DE SAUDE SEDE IPIRA,PREFEITURA MUNICIPAL DE IPIRA,,82814260000165.0,M,RUA SANTA CATARINA,47,CENTRO,89669000
202202,420768,SC,IPUACU,2410966,UNIDADE SANITARIA DE IPUACU,PREFEITURA MUNICIPAL DE IPUACU,,95993028000183.0,M,RUA MACHADO,416,CENTRO,89832000
202202,420780,SC,IRANI,2557983,UBS SEDE,MUNICIPIO DE IRANI,,82939455000131.0,M,RUA MONGE JOAO MARIA,508,ALTO IRANI,89680000
202202,421330,SC,PONTE ALTA,2300850,FUNDACAO MEDICO SOCIAL RURAL DE PONTE ALTA,FUNDACAO MEDICO SOCIAL RURAL DE PONTE ALTA,82733767000194.0,,E,JOSE MARTINS,149,CENTRO,88550000
202202,421335,SC,PONTE ALTA DO NORTE,2651904,PROGRAMA MUN SAUDE BUCAL,PREFEITURA MUNICIPAL DE PONTE ALTA DO NORTE,,95991287000175.0,M,RUA LAUREANO JOAO CARRARO,S/N,SAO SEBASTIAO,89535000
202202,421340,SC,PONTE SERRADA,2411121,PROGRAMA DA SAUDE DA FAMILIA 01,PREFEITURA MUNICIPAL DE PONTE SERRADA,,82777236000101.0,M,ADEMAR JOSE RAUBER,S/N,COHAB,89683000
202202,421340,SC,PONTE SERRADA,2411164,HOSPITAL SANTA LUZIA DE DEOLINDO JOSE BAGGIO,ASSOCIACAO DE ASSISTENCIA HOSPITALAR SANTO EXPEDITO,34048494000104.0,,E,AV XV DE NOVEMBRO,860,CENTRO,89683000
202202,420890,SC,JARAGUA DO SUL,7948913,AGACY E PASSINI CIRURGIA PLASTICA,AGACY E PASSINI CIRURGIA PLASTICA LTDA,15597469000127.0,,M,RUA GUILHERME WEEGE,495,CENTRO,89251610
202202,420140,SC,ARARANGUA,7958420,LABORATORIO EXAME,LABORATORIO EXAME LTDA ME,24147298000125.0,,M,PADRE ANTONIO LUIZ DIAS,345,CENTRO,88900067
202202,421930,SC,VIDEIRA,7835574,OK RENT A CAR,OK RENT A CAR,2035468000147.0,,M,RUA PEDRO ANDREAZZA,55,CENTRO,89560200
202202,421720,SC,SAO MIGUEL DO OESTE,7818238,CLINIPOM CLINICA DE SAUDE DOS MILITARES ESTADUAIS,ASSOCIACAO BENEFICIENTE DOS MILITARES ESTADUAIS DE SANTA CAT,73360539001440.0,,M,RUA CHUI,273,CENTRO,89900000
202202,420240,SC,BLUMENAU,7846169,CLORIS YVETTE DE MONTREUIL CARMONA CARMACIO,CLORIS YVETTE MONTREUIL CARMONA CARMACIO,,,M,RUA FREDERICO BUSCH JR,124,RIBEIRAO FRESCO,89010100
202202,421540,SC,SALTO VELOSO,7836732,EVANDRO LOURENCO GAZZI,EVANDRO LOURENCO GAZZI,,,M,AVENIDA PIO XII,408,CENTRO,89595000
202202,420120,SC,ANTONIO CARLOS,7846738,JOAO NEVES DA FONTOURA JUNIOR,JOAO NEVES DA FONTOURA JUNIOR,,,M,RUA LOURENCO VALDEMIRO RIOS,36,CENTRO,88180000
202202,421850,SC,TREZE TILIAS,7828527,ANA PAULA KANDLER,ANA PAULA KANDLER,,,M,RUA VIDEIRA,80,CENTRO,89650000
202202,420540,SC,FLORIANOPOLIS,3479994,CARDIOCENTER,CARDIOCENTER CLINICA CARDIOLOGICA SC LTDA,60593000181.0,,M,RUA NEREU RAMOS,69,CENTRO,88015010
202202,420830,SC,ITAPEMA,3450406,CLINICA SAO MIGUEL,CENTRO MEDICO DE ESPECIALIDADE E DIAG POR IMAGEM SAO MIGUEL,4220806000146.0,,M,AV NEREU RAMOS,4016,MEIA PRAIA,88220000
202202,420020,SC,AGROLANDIA,3485285,GISELI PRISCILA SCHELLER,GISELI PRISCILA SCHELLER,,,M,RUA DOS PIONEIROS,565,CENTRO,88420000
202202,420460,SC,CRICIUMA,2419726,BIOVITA LABORATORIO DE ANALISES CLINICAS,LABORATORIO MONTEIRO LTDA,75896282000156.0,,M,RUA JOAO CECHINEL,31,CENTRO,88801305
202202,420460,SC,CRICIUMA,2594277,HOSPITAL MATERNO INFANTIL SANTA CATARINA,SECRETARIA DE ESTADO DA SAUDE,,82951245000169.0,E,RUA WENCESLAU BRAZ,1015,OPERARIA NOVA,88809020
202202,420460,SC,CRICIUMA,2419858,UNIDADE BASICA DE SAUDE BOA VISTA,MUNICIPIO DE CRICIUMA,,82916818000113.0,M,RUA TANGARA,S/N,BOA VISTA,88805500
202202,420910,SC,JOINVILLE,7833601,REABILITAR FISIOTERAPIA,KATIA REGINA WILCKE TAMASIA FISIOTERAPIA ME,17459282000192.0,,M,DOUTOR CARLOS HEINS FUNKE,80,PIRABEIRABA,89239205
202202,421660,SC,SAO JOSE,7830203,CLINIFISIO,CLINIFISIO FISIOTERAPIA LTDA,1252302000110.0,,M,CELIO OLIVEIRA DA VEIGA,477,JARDIM CIDADE DE FLO,88111320
202202,420420,SC,CHAPECO,3476839,LABORATORIO UNIMED,UNIMED CHAPECO COOPERATIVA DE TRABALHO MEDICO DA REGIAO OE,85283299000353.0,,M,RUA PORTO ALEGRE,132,CENTRO,89802130
202202,420910,SC,JOINVILLE,7828853,ESPACO NASCENDIS CLINICA DE PSICOLOGIA,ESPACO NASCENDIS PSICOLOGIA CLINICA E ORGANIZACIONAL SS L,22769861000171.0,,M,BLUMENAU,178,AMERICA,89204248
202202,420380,SC,CANOINHAS,7825439,CLINICA PSICO VIDA,THAISE GLEVINSKI PSICOLOGIA ME,22708047000147.0,,M,FREI MENANDRO KAMPS,1280,CENTRO,89460152
202202,420910,SC,JOINVILLE,7831595,LAILA QUEREM TRIBUCI,LAILA QUEREM TRIBUCI,,,M,OTTO PFUETZENREUTER,195,COSTA E SILVA,89219202
202202,420940,SC,LAGUNA,7833008,FARMACIA ECONOMICA,CASEMIRO SILVEIRA DE SOUZA ME,926315000164.0,,M,AV CALISTRATO MULLER SALLES,1794,PORTINHO,88790000
202202,421720,SC,SAO MIGUEL DO OESTE,9971408,UNIDADE CENTRAL,MUNICIPIO DE SAO MIGUEL DOESTE,,82821174000180.0,M,RUA JOHN KENNEDY,1437,CENTRO,89900000
202202,420540,SC,FLORIANOPOLIS,9987479,RADIODERM SERVICOES MEDICOS,RADIODERM SERVICOES MEDICOS SS,21380313000192.0,,M,RUA FERREIRA LIMA,238,CENTRO,88015420
202202,420240,SC,BLUMENAU,5409136,IZABELLA BARRETO SPILLERE DA SILVA BONA,IZABELLA BARRETO SPILLERE DA SILVA BONA,,,M,RUA CORONEL VIDAL RAMOS,01,JARDIM BLUMENAU,89010330
202202,420240,SC,BLUMENAU,217131,CLINICA IMAGINARE DESENVOLVIMENTO INFANTO JUVENIL,BLOS E SCHULTES SERVICOS EM SAUDE LTDA,33236303000167.0,,M,RUA XV DE NOVEMBRO,534,CENTRO,89010912
202202,421360,SC,PORTO UNIAO,207721,LABORATORIO DE ANALISES CLINICAS GALILEU LTDA,LABORATORIO DE ANALISES CLINICAS GALILEU LTDA,7598164000454.0,,M,GETULIO VARGAS,49,CENTRO,89400000
